game_id,host_team,away_team,game_start_time,location,score,last_updated_at
10000000001,Real Madrid,Unirea Alba Iulia,2025-11-08T19:00:00Z,"Madrid, Spain",0-0,2025-11-08T19:00:00Z
10000000001,Real Madrid,Unirea Alba Iulia,2025-11-08T19:00:00Z,"Madrid, Spain",0-1,2025-11-08T19:10:15Z
10000000001,Real Madrid,Unirea Alba Iulia,2025-11-08T19:00:00Z,"Madrid, Spain",1-1,2025-11-08T19:14:15Z
10000000001,Real Madrid,Unirea Alba Iulia,2025-11-08T19:00:00Z,"Madrid, Spain",1-2,2025-11-08T19:20:15Z
10000000001,Real Madrid,Unirea Alba Iulia,2025-11-08T19:00:00Z,"Madrid, Spain",1-3,2025-11-08T19:30:15Z
10000000002,FC Barcelona,Bayern Munich,2025-11-09T18:30:00Z,"Barcelona, Spain",0-0,2025-11-09T18:30:00Z
10000000002,FC Barcelona,Bayern Munich,2025-11-09T18:30:00Z,"Barcelona, Spain",1-0,2025-11-09T18:45:02Z
10000000002,FC Barcelona,Bayern Munich,2025-11-09T18:30:00Z,"Barcelona, Spain",1-1,2025-11-09T18:55:02Z
10000000002,FC Barcelona,Bayern Munich,2025-11-09T18:30:00Z,"Barcelona, Spain",1-2,2025-11-09T19:05:02Z
10000000003,Paris Saint-Germain,Liverpool,2025-11-10T20:00:00Z,"Paris, France",0-0,2025-11-10T20:00:00Z
10000000003,Paris Saint-Germain,Liverpool,2025-11-10T20:00:00Z,"Paris, France",1-0,2025-11-10T20:10:44Z
10000000003,Paris Saint-Germain,Liverpool,2025-11-10T20:00:00Z,"Paris, France",2-0,2025-11-10T20:12:44Z
10000000003,Paris Saint-Germain,Liverpool,2025-11-10T20:00:00Z,"Paris, France",3-0,2025-11-10T20:14:44Z
10000000003,Paris Saint-Germain,Liverpool,2025-11-10T20:00:00Z,"Paris, France",3-1,2025-11-10T20:18:44Z
10000000003,Paris Saint-Germain,Liverpool,2025-11-10T20:00:00Z,"Paris, France",3-2,2025-11-10T20:20:44Z
10000000004,Juventus,Borussia Dortmund,2025-11-11T17:00:00Z,"Turin, Italy",0-0,2025-11-11T17:00:00Z
10000000004,Juventus,Borussia Dortmund,2025-11-11T17:00:00Z,"Turin, Italy",1-0,2025-11-11T17:12:10Z
10000000004,Juventus,Borussia Dortmund,2025-11-11T17:00:00Z,"Turin, Italy",2-0,2025-11-11T17:22:10Z
10000000005,AC Milan,SL Benfica,2025-11-12T19:15:00Z,"Milan, Italy",0-0,2025-11-12T19:15:00Z
10000000005,AC Milan,SL Benfica,2025-11-12T19:15:00Z,"Milan, Italy",0-1,2025-11-12T19:40:33Z
10000000006,AFC Ajax,Inter Milan,2025-11-13T21:00:00Z,"Amsterdam, Netherlands",0-0,2025-11-13T21:00:00Z
10000000006,AFC Ajax,Inter Milan,2025-11-13T21:00:00Z,"Amsterdam, Netherlands",0-1,2025-11-13T21:05:55Z
10000000006,AFC Ajax,Inter Milan,2025-11-13T21:00:00Z,"Amsterdam, Netherlands",0-2,2025-11-13T21:09:55Z
10000000006,AFC Ajax,Inter Milan,2025-11-13T21:00:00Z,"Amsterdam, Netherlands",1-2,2025-11-13T21:15:55Z
10000000006,AFC Ajax,Inter Milan,2025-11-13T21:00:00Z,"Amsterdam, Netherlands",2-2,2025-11-13T21:25:55Z
10000000007,FC Porto,Chelsea,2025-11-14T18:45:00Z,"Porto, Portugal",0-0,2025-11-14T18:45:00Z
10000000007,FC Porto,Chelsea,2025-11-14T18:45:00Z,"Porto, Portugal",1-0,2025-11-14T19:01:12Z
10000000007,FC Porto,Chelsea,2025-11-14T18:45:00Z,"Porto, Portugal",1-1,2025-11-14T19:11:12Z
10000000008,Atlético Madrid,RB Leipzig,2025-11-15T16:30:00Z,"Madrid, Spain",0-0,2025-11-15T16:30:00Z
10000000008,Atlético Madrid,RB Leipzig,2025-11-15T16:30:00Z,"Madrid, Spain",1-0,2025-11-15T16:50:00Z
10000000008,Atlético Madrid,RB Leipzig,2025-11-15T16:30:00Z,"Madrid, Spain",2-0,2025-11-15T16:55:00Z
10000000008,Atlético Madrid,RB Leipzig,2025-11-15T16:30:00Z,"Madrid, Spain",3-0,2025-11-15T17:00:00Z
10000000009,SSC Napoli,Arsenal,2025-11-16T19:30:00Z,"Naples, Italy",0-0,2025-11-16T19:30:00Z
10000000009,SSC Napoli,Arsenal,2025-11-16T19:30:00Z,"Naples, Italy",1-0,2025-11-16T19:58:29Z
10000000009,SSC Napoli,Arsenal,2025-11-16T19:30:00Z,"Naples, Italy",1-1,2025-11-16T20:58:29Z
10000000010,Borussia Dortmund,Real Madrid,2025-11-17T20:15:00Z,"Dortmund, Germany",0-0,2025-11-17T20:15:00Z
10000000010,Borussia Dortmund,Real Madrid,2025-11-17T20:15:00Z,"Dortmund, Germany",0-1,2025-11-17T20:20:05Z
10000000010,Borussia Dortmund,Real Madrid,2025-11-17T20:15:00Z,"Dortmund, Germany",0-2,2025-11-17T20:30:05Z
10000000010,Borussia Dortmund,Real Madrid,2025-11-17T20:15:00Z,"Dortmund, Germany",1-2,2025-11-17T20:35:05Z
10000000010,Borussia Dortmund,Real Madrid,2025-11-17T20:15:00Z,"Dortmund, Germany",1-3,2025-11-17T20:45:05Z
10000000011,Bayern Munich,FC Barcelona,2025-11-18T21:30:00Z,"Munich, Germany",0-0,2025-11-18T21:30:00Z
10000000011,Bayern Munich,FC Barcelona,2025-11-18T21:30:00Z,"Munich, Germany",0-1,2025-11-18T21:49:41Z
10000000011,Bayern Munich,FC Barcelona,2025-11-18T21:30:00Z,"Munich, Germany",1-1,2025-11-18T21:55:41Z
10000000011,Bayern Munich,FC Barcelona,2025-11-18T21:30:00Z,"Munich, Germany",2-1,2025-11-18T22:00:41Z
10000000011,Bayern Munich,FC Barcelona,2025-11-18T21:30:00Z,"Munich, Germany",2-2,2025-11-18T22:49:41Z
10000000012,Manchester City,Inter Milan,2025-11-19T18:00:00Z,"Manchester, England",0-0,2025-11-19T18:00:00Z
10000000012,Manchester City,Inter Milan,2025-11-19T18:00:00Z,"Manchester, England",1-0,2025-11-19T18:13:19Z
10000000012,Manchester City,Inter Milan,2025-11-19T18:00:00Z,"Manchester, England",2-0,2025-11-19T18:23:19Z
10000000012,Manchester City,Inter Milan,2025-11-19T18:00:00Z,"Manchester, England",2-1,2025-11-19T18:33:19Z
10000000012,Manchester City,Inter Milan,2025-11-19T18:00:00Z,"Manchester, England",3-1,2025-11-19T18:43:19Z
10000000012,Manchester City,Inter Milan,2025-11-19T18:00:00Z,"Manchester, England",4-1,2025-11-19T19:33:19Z
10000000013,Liverpool,AC Milan,2025-11-20T19:45:00Z,"Liverpool, England",0-0,2025-11-20T19:45:00Z
10000000013,Liverpool,AC Milan,2025-11-20T19:45:00Z,"Liverpool, England",1-0,2025-11-20T20:05:07Z
10000000014,SL Benfica,AFC Ajax,2025-11-21T17:30:00Z,"Lisbon, Portugal",0-0,2025-11-21T17:30:00Z
10000000014,SL Benfica,AFC Ajax,2025-11-21T17:30:00Z,"Lisbon, Portugal",1-0,2025-11-21T17:55:56Z
10000000015,Shakhtar Donetsk,Celtic,2025-11-22T18:10:00Z,"Warsaw, Poland",0-0,2025-11-22T18:10:00Z
10000000016,Galatasaray,FC Porto,2025-11-23T20:40:00Z,"Istanbul, Turkey",0-0,2025-11-23T20:40:00Z
10000000016,Galatasaray,FC Porto,2025-11-23T20:40:00Z,"Istanbul, Turkey",1-0,2025-11-23T21:03:03Z
10000000016,Galatasaray,FC Porto,2025-11-23T20:40:00Z,"Istanbul, Turkey",1-1,2025-11-23T21:08:03Z
10000000016,Galatasaray,FC Porto,2025-11-23T20:40:00Z,"Istanbul, Turkey",1-2,2025-11-23T21:13:03Z
10000000016,Galatasaray,FC Porto,2025-11-23T20:40:00Z,"Istanbul, Turkey",1-3,2025-11-23T21:53:03Z
10000000017,Club Brugge,Atlético Madrid,2025-11-24T19:20:00Z,"Bruges, Belgium",0-0,2025-11-24T19:20:00Z
10000000017,Club Brugge,Atlético Madrid,2025-11-24T19:20:00Z,"Bruges, Belgium",1-0,2025-11-24T19:44:22Z
10000000018,Red Bull Salzburg,Juventus,2025-11-25T18:50:00Z,"Salzburg, Austria",0-0,2025-11-25T18:50:00Z
10000000018,Red Bull Salzburg,Juventus,2025-11-25T18:50:00Z,"Salzburg, Austria",1-0,2025-11-25T19:06:06Z
10000000018,Red Bull Salzburg,Juventus,2025-11-25T18:50:00Z,"Salzburg, Austria",2-0,2025-11-25T19:16:06Z
10000000019,Rangers,PSV Eindhoven,2025-11-26T21:05:00Z,"Glasgow, Scotland",0-0,2025-11-26T21:05:00Z
10000000019,Rangers,PSV Eindhoven,2025-11-26T21:05:00Z,"Glasgow, Scotland",0-1,2025-11-26T21:25:30Z
10000000019,Rangers,PSV Eindhoven,2025-11-26T21:05:00Z,"Glasgow, Scotland",0-2,2025-11-26T22:15:30Z
10000000020,BSC Young Boys,SSC Napoli,2025-11-27T17:55:00Z,"Bern, Switzerland",0-0,2025-11-27T17:55:00Z
10000000020,BSC Young Boys,SSC Napoli,2025-11-27T17:55:00Z,"Bern, Switzerland",1-0,2025-11-27T18:00:45Z
10000000020,BSC Young Boys,SSC Napoli,2025-11-27T17:55:00Z,"Bern, Switzerland",1-1,2025-11-27T18:50:45Z
